OrderId,lat,lng
702-3934393-3851424,43.5496803,-79.7234241
702-5143252-0090652,43.6383911,-79.3978503
701-3896351-9507400,45.5202596,-73.600786
702-7583601-9335443,46.6694941,-71.0525292
702-5136285-5277038,49.2691877,-123.1827296
701-9536154-7143450,50.40087639999999,-105.5654753
702-7251285-8288234,49.27351119999999,-123.0533595
702-4220619-4417847,44.2770379,-76.71829249999999
701-8165737-4035411,49.2462138,-122.8270605
701-8279745-7481011,45.41664249999999,-73.62662139999999
702-3163136-7749017,43.305037,-79.8536571
701-8268613-3567437,49.0992443,-123.0694002
702-0004702-5073836,51.5006133,-106.2706237
702-7869657-6500258,42.8772155,-80.75660289999999
701-5187407-0967425,43.5423111,-79.7233365
702-8418759-1849015,45.4397161,-73.71976889999999
701-9521866-0343458,45.4045382,-73.4786555
702-0090719-2381072,43.8517618,-79.52728359999999
702-0360812-3013862,51.64397049999999,-121.2950097
702-1595195-6493867,44.7574851,-63.8012975
701-5852033-6784237,49.1497088,-122.7746303
702-7526807-7949001,43.7078621,-79.3333535
701-5680471-7565836,43.6738585,-79.3498999
702-7516401-4912230,44.6882033,-63.4318323
702-3904389-4807417,53.627104,-113.5283753
702-8351319-0160259,52.38087909999999,-113.7954188
702-4666017-9180217,53.5230411,-113.5662146
701-3549675-9721017,53.3161296,-113.5166413
701-3942929-2969845,49.9419409,-97.08827959999999
702-4478966-9815459,43.1963733,-79.28378459999999
701-2494572-8833065,44.8455906,-75.8105866
702-2853525-7015413,44.1821907,-78.5672106
701-4398132-8461046,48.203,-79.027748
701-2247934-6922649,43.8000221,-79.3755939
701-6774763-3119401,56.24316229999999,-120.8513097
702-3642535-7236237,43.5984762,-79.50887639999999
702-9230846-4861827,43.8416562,-79.0219491
702-8829636-2218616,49.7807794,-94.4676412
701-8735903-5697804,44.333907,-79.6958116
701-5485054-2664222,42.0398269,-82.74112009999999
701-9672037-2851428,45.50226139999999,-73.78108069999999
702-1977736-6812248,49.6989762,-123.152538
702-1695292-2258628,45.4608652,-73.56956430000001
701-3311682-5197027,52.9526231,-114.7954031
702-3218139-1278601,45.5345869,-73.75547399999999
701-7316943-6225856,49.54277,-56.8566438
702-1033844-8509057,45.39570519999999,-75.7250645
702-3420949-9505822,42.8658879,-80.7333175
701-0024784-0020276,49.366067,-97.933769
701-5121943-3390606,49.0652256,-122.2689613
702-1989733-9346662,53.4221605,-113.5048583
701-9877379-1615442,46.373867,-63.619784
701-4615540-3647458,51.0416388,-113.3979808
701-6521191-4242635,43.4709417,-80.5823801
702-9290830-7705027,44.3565742,-78.7407542
701-7395089-2468222,55.43289910000001,-116.4886918
702-6966870-9377006,60.703535,-135.1102819
702-0493871-8246649,51.2959834,-114.0453105
702-7229052-1128256,51.0693616,-114.0473379
701-6299861-7055422,46.6066224,-72.7197545
